pair_id,conflict_type,image_severity_signal,text_severity_signal,conflict_direction,source
synthetic:870331956415909890_0:907041310518935552,location_mismatch,severe,none,image>text,synthetic
synthetic:901646234880024576_0:912049707085594624,location_mismatch,none,severe,text>image,synthetic
synthetic:901650312934674434_0:930044157699280896,location_mismatch,none,severe,text>image,synthetic
synthetic:901714497332809728_0:905636901306163200,location_mismatch,none,severe,text>image,synthetic
synthetic:901792272882294786_0:911513668164177920,location_mismatch,none,severe,text>image,synthetic
synthetic:901822598765522945_0:905636901306163200,location_mismatch,none,severe,text>image,synthetic
synthetic:904285919217426432_0:909912459640700930,location_mismatch,severe,none,image>text,synthetic
synthetic:904343320243163137_0:910566731273433091,location_mismatch,severe,none,image>text,synthetic
synthetic:904429898944667648_3:920022506211127296,location_mismatch,none,severe,text>image,synthetic
synthetic:904779114506326016_0:912049707085594624,location_mismatch,none,severe,text>image,synthetic
synthetic:904830090386735105_0:931258352272838656,location_mismatch,none,severe,text>image,synthetic
synthetic:904925838839169028_0:912306806021591041,location_mismatch,none,severe,text>image,synthetic
synthetic:905631992183635968_0:905729992742625281,location_mismatch,severe,none,image>text,synthetic
synthetic:905636901306163200_0:904779114506326016,location_mismatch,severe,none,image>text,synthetic
synthetic:905669512434917376_0:912049707085594624,location_mismatch,none,severe,text>image,synthetic
synthetic:905705134361120768_2:912301115257053184,location_mismatch,severe,none,image>text,synthetic
synthetic:905705134361120768_3:921560430803382272,location_mismatch,severe,none,image>text,synthetic
synthetic:905715102258569216_0:930665371153174528,location_mismatch,none,severe,text>image,synthetic
synthetic:905729992742625281_0:906919319849893889,location_mismatch,none,severe,text>image,synthetic
synthetic:906635791778160640_2:915079996900827136,location_mismatch,none,severe,text>image,synthetic
synthetic:906744961072291840_3:919573866003001344,location_mismatch,none,severe,text>image,synthetic
synthetic:906851261881962497_0:910524778896691200,location_mismatch,none,severe,text>image,synthetic
synthetic:906919319849893889_0:910141087926378496,location_mismatch,severe,none,image>text,synthetic
synthetic:906927950938873856_0:904250508931735552,location_mismatch,none,severe,text>image,synthetic
synthetic:906928042865504261_0:912989234922889216,location_mismatch,none,severe,text>image,synthetic
synthetic:906983382290194433_0:910635961134014464,location_mismatch,none,severe,text>image,synthetic
synthetic:906983382290194433_1:905636901306163200,location_mismatch,none,severe,text>image,synthetic
synthetic:907200075687964672_1:909722974218895360,location_mismatch,none,severe,text>image,synthetic
synthetic:907307308211982336_0:921095476455321600,location_mismatch,none,severe,text>image,synthetic
synthetic:907315724275695616_0:915992255583854592,location_mismatch,none,severe,text>image,synthetic
synthetic:907398192567930882_0:917810972479381504,location_mismatch,none,severe,text>image,synthetic
synthetic:907909804869419008_1:909963325944901633,location_mismatch,severe,none,image>text,synthetic
synthetic:908390896084897793_0:921560430803382272,location_mismatch,severe,none,image>text,synthetic
synthetic:909220520461180928_0:912286223930134530,location_mismatch,none,severe,text>image,synthetic
synthetic:909384460285526016_0:907307308211982336,location_mismatch,severe,none,image>text,synthetic
synthetic:909421699778715648_0:920022506211127296,location_mismatch,none,severe,text>image,synthetic
synthetic:909432584333078528_0:919573866003001344,location_mismatch,none,severe,text>image,synthetic
synthetic:909470884532047874_0:917810972479381504,location_mismatch,none,severe,text>image,synthetic
synthetic:909480824826888192_0:910566731273433091,location_mismatch,severe,none,image>text,synthetic
synthetic:909486151760777216_0:912049707085594624,location_mismatch,none,severe,text>image,synthetic
synthetic:909492362581282816_2:912376057365504001,location_mismatch,none,severe,text>image,synthetic
synthetic:909701027879882752_0:911513668164177920,location_mismatch,none,severe,text>image,synthetic
synthetic:909715026872762368_0:921035789684871168,location_mismatch,none,severe,text>image,synthetic
synthetic:909715026872762368_1:904285919217426432,location_mismatch,none,severe,text>image,synthetic
synthetic:909715026872762368_3:912049707085594624,location_mismatch,none,severe,text>image,synthetic
synthetic:909722974218895360_0:906744961072291840,location_mismatch,severe,none,image>text,synthetic
synthetic:909768090392645633_0:901714497332809728,location_mismatch,severe,none,image>text,synthetic
synthetic:909780742787432452_0:919573866003001344,location_mismatch,none,severe,text>image,synthetic
synthetic:909782574913937408_0:910635961134014464,location_mismatch,none,severe,text>image,synthetic
synthetic:909796226169819140_1:912309406347534336,location_mismatch,none,severe,text>image,synthetic
synthetic:909797659795427334_0:930361931629780993,location_mismatch,none,severe,text>image,synthetic
synthetic:909835088044580864_1:910783579751419904,location_mismatch,none,severe,text>image,synthetic
synthetic:909841237493956608_0:911513668164177920,location_mismatch,none,severe,text>image,synthetic
synthetic:909863311528820738_0:915079996900827136,location_mismatch,none,severe,text>image,synthetic
synthetic:909868408493236224_0:929992723146399745,location_mismatch,none,severe,text>image,synthetic
synthetic:909883607350513664_0:901792272882294786,location_mismatch,severe,none,image>text,synthetic
synthetic:909883810367582208_0:919895719691112448,location_mismatch,none,severe,text>image,synthetic
synthetic:909927931316703233_0:927214178049445889,location_mismatch,none,severe,text>image,synthetic
synthetic:909938076423675905_2:921035789684871168,location_mismatch,none,severe,text>image,synthetic
synthetic:909943803943030785_0:912286223930134530,location_mismatch,none,severe,text>image,synthetic
synthetic:909963325944901633_0:904285919217426432,location_mismatch,none,severe,text>image,synthetic
synthetic:910122015993995264_3:914045395759767552,location_mismatch,none,severe,text>image,synthetic
synthetic:910242571556982784_0:907909804869419008,location_mismatch,none,severe,text>image,synthetic
synthetic:910244526392008704_0:908390896084897793,location_mismatch,none,severe,text>image,synthetic
synthetic:910259646316900352_0:907909804869419008,location_mismatch,none,severe,text>image,synthetic
synthetic:910549146360311808_0:905636901306163200,location_mismatch,none,severe,text>image,synthetic
synthetic:910566731273433091_0:917869210499399680,location_mismatch,none,severe,text>image,synthetic
synthetic:910635961134014464_0:905669512434917376,location_mismatch,severe,none,image>text,synthetic
synthetic:910783579751419904_0:910242571556982784,location_mismatch,severe,none,image>text,synthetic
synthetic:911540012243591168_0:910259646316900352,location_mismatch,severe,none,image>text,synthetic
synthetic:911623875565375488_0:906851261881962497,location_mismatch,severe,none,image>text,synthetic
synthetic:912048104651788289_2:917810972479381504,location_mismatch,none,severe,text>image,synthetic
synthetic:912165621198188544_0:909480824826888192,location_mismatch,none,severe,text>image,synthetic
synthetic:912200008090386432_0:905729992742625281,location_mismatch,severe,none,image>text,synthetic
synthetic:912286223930134530_0:905826747395870720,location_mismatch,severe,none,image>text,synthetic
synthetic:912301115257053184_2:919935983314984960,location_mismatch,none,severe,text>image,synthetic
synthetic:912306806021591041_0:906927950938873856,location_mismatch,severe,none,image>text,synthetic
synthetic:912309406347534336_0:908566528898895872,location_mismatch,severe,none,image>text,synthetic
synthetic:912989234922889216_0:930401945516462080,location_mismatch,severe,none,image>text,synthetic
synthetic:913392166533201920_0:904343320243163137,location_mismatch,none,severe,text>image,synthetic
synthetic:914045395759767552_0:909704222156959745,location_mismatch,severe,none,image>text,synthetic
synthetic:915079996900827136_0:909883810367582208,location_mismatch,severe,none,image>text,synthetic
synthetic:915294511579897857_0:904343320243163137,location_mismatch,none,severe,text>image,synthetic
synthetic:917810972479381504_0:930401945516462080,location_mismatch,severe,none,image>text,synthetic
synthetic:917869210499399680_0:912165621198188544,location_mismatch,severe,none,image>text,synthetic
synthetic:917915816615731201_0:909938076423675905,location_mismatch,severe,none,image>text,synthetic
synthetic:918103951488188416_0:909868408493236224,location_mismatch,severe,none,image>text,synthetic
synthetic:918278752852955136_0:915294511579897857,location_mismatch,severe,none,image>text,synthetic
synthetic:919573866003001344_0:901650312934674434,location_mismatch,severe,none,image>text,synthetic
synthetic:919895719691112448_0:909704222156959745,location_mismatch,severe,none,image>text,synthetic
synthetic:919935983314984960_1:909448877790695424,location_mismatch,severe,none,image>text,synthetic
synthetic:920022506211127296_0:910549146360311808,location_mismatch,severe,none,image>text,synthetic
synthetic:921035789684871168_0:906626877321818112,location_mismatch,severe,none,image>text,synthetic
synthetic:921560430803382272_0:915079996900827136,location_mismatch,none,severe,text>image,synthetic
synthetic:927214178049445889_0:912301115257053184,location_mismatch,severe,none,image>text,synthetic
synthetic:930005173799354368_0:909704222156959745,location_mismatch,severe,none,image>text,synthetic
synthetic:930044157699280896_0:904429898944667648,location_mismatch,severe,none,image>text,synthetic
synthetic:930361931629780993_0:909704222156959745,location_mismatch,severe,none,image>text,synthetic
synthetic:930665371153174528_0:904429898944667648,location_mismatch,severe,none,image>text,synthetic
synthetic:931258352272838656_0:909779022644727808,location_mismatch,severe,none,image>text,synthetic
real:870331956415909890_0,none,severe,severe,,real
real:901792272882294786_0,none,none,none,,real
real:901805267989475328_0,none,severe,severe,,real
real:901822598765522945_0,none,none,none,,real
real:904217471678337024_0,none,severe,severe,,real
real:904250508931735552_0,none,severe,severe,,real
real:904343320243163137_0,none,severe,severe,,real
real:904429898944667648_3,none,none,none,,real
real:904705739733782530_0,none,none,none,,real
real:904779114506326016_0,none,none,none,,real
real:904925838839169028_0,none,none,none,,real
real:905630580745830400_3,none,none,none,,real
real:905636901306163200_0,none,severe,severe,,real
real:905636901306163200_1,none,severe,severe,,real
real:905636901306163200_2,none,severe,severe,,real
real:905636901306163200_3,none,severe,severe,,real
real:905685100901179392_0,none,severe,severe,,real
real:905702343735422976_0,none,none,none,,real
real:905715102258569216_0,none,none,none,,real
real:905926924467363841_0,none,severe,severe,,real
real:906635791778160640_2,none,none,none,,real
