pair_id,image_tweet_id,text_tweet_id,image_id,image,image_path,tweet_text,image_event,text_event,label_text,label_image,rubric_reason
synthetic:870331956415909890_0:907041310518935552,870331956415909890,907041310518935552,870331956415909890_0,data_image/srilanka_floods/1_6_2017/870331956415909890_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/srilanka_floods/1_6_2017/870331956415909890_0.jpg,Pics of the destruction from #HurricaneHarvey 2 weeks after the storm. #TITFF #CampDelta https://t.co/gYF6itadN6,srilanka_floods,hurricane_harvey,infrastructure_and_utility_damage,infrastructure_and_utility_damage,no_damage_or_affected_population_signal
synthetic:901646234880024576_0:912049707085594624,901646234880024576,912049707085594624,901646234880024576_0,data_image/hurricane_harvey/27_8_2017/901646234880024576_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/27_8_2017/901646234880024576_0.jpg,Hurricane Maria Left Puerto Rico Absolutely Devastated https://t.co/TwCgNFTbc5,hurricane_harvey,hurricane_maria,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=devastated;population=0
synthetic:901650312934674434_0:930044157699280896,901650312934674434,930044157699280896,901650312934674434_0,data_image/hurricane_harvey/27_8_2017/901650312934674434_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/27_8_2017/901650312934674434_0.jpg,RT @irishtimesvideo: ► VIDEO: Kurdish TV shows destroyed buildings after Iraq earthquake https://t.co/RpeFBZkjus https://t.co/FDFp3qkbD8,hurricane_harvey,iraq_iran_earthquake,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=destroyed;population=0
synthetic:901714497332809728_0:905636901306163200,901714497332809728,905636901306163200,901714497332809728_0,data_image/hurricane_harvey/27_8_2017/901714497332809728_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/27_8_2017/901714497332809728_0.jpg,Florida has been destroyed by Hurricane Irma... https://t.co/R7bEYDTYDR,hurricane_harvey,hurricane_irma,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=destroyed;population=0
synthetic:901792272882294786_0:911513668164177920,901792272882294786,911513668164177920,901792272882294786_0,data_image/hurricane_harvey/27_8_2017/901792272882294786_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/27_8_2017/901792272882294786_0.jpg,A storm has never destroyed a power grid like Maria ruined Puerto Rico's https://t.co/81xzaXQI7V https://t.co/ycMeJY5OCG,hurricane_harvey,hurricane_maria,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=destroyed;population=0
synthetic:901822598765522945_0:905636901306163200,901822598765522945,905636901306163200,901822598765522945_0,data_image/hurricane_harvey/27_8_2017/901822598765522945_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/27_8_2017/901822598765522945_0.jpg,Florida has been destroyed by Hurricane Irma... https://t.co/R7bEYDTYDR,hurricane_harvey,hurricane_irma,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=destroyed;population=0
synthetic:904285919217426432_0:909912459640700930,904285919217426432,909912459640700930,904285919217426432_0,data_image/hurricane_harvey/3_9_2017/904285919217426432_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/3_9_2017/904285919217426432_0.jpg,WOW! ·Ω¢E The photos from our crews out in South #Florida show the destruction left by #Hurricane #Irma. #roofing‚Ä¶ https://t.co/pCVRLRkS6x,hurricane_harvey,hurricane_irma,infrastructure_and_utility_damage,infrastructure_and_utility_damage,no_damage_or_affected_population_signal
synthetic:904343320243163137_0:910566731273433091,904343320243163137,910566731273433091,904343320243163137_0,data_image/hurricane_harvey/3_9_2017/904343320243163137_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/3_9_2017/904343320243163137_0.jpg,Hurricane Maria’s winds rip side off building in San Juan https://t.co/TVAQi8EXo9 https://t.co/nygT354viZ,hurricane_harvey,hurricane_maria,infrastructure_and_utility_damage,infrastructure_and_utility_damage,no_damage_or_affected_population_signal
synthetic:904429898944667648_3:920022506211127296,904429898944667648,920022506211127296,904429898944667648_3,data_image/hurricane_harvey/3_9_2017/904429898944667648_3.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/3_9_2017/904429898944667648_3.jpg,California suburb destroyed by fire last night - https://t.co/fwpKgAcBHn https://t.co/1WJxWXk27t,hurricane_harvey,california_wildfires,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=destroyed;population=0
synthetic:904779114506326016_0:912049707085594624,904779114506326016,912049707085594624,904779114506326016_0,data_image/hurricane_harvey/4_9_2017/904779114506326016_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/4_9_2017/904779114506326016_0.jpg,Hurricane Maria Left Puerto Rico Absolutely Devastated https://t.co/TwCgNFTbc5,hurricane_harvey,hurricane_maria,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=devastated;population=0
synthetic:904830090386735105_0:931258352272838656,904830090386735105,931258352272838656,904830090386735105_0,data_image/hurricane_harvey/4_9_2017/904830090386735105_0.jpg,/Users/pratyusha/Documents/CS - learning/python_learn/ml/final-project/pratyusha/data/raw/crisismmd/CrisisMMD_v2.0/data_image/hurricane_harvey/4_9_2017/904830090386735105_0.jpg,Man plays #piano on ruins of his house. The city was hit by an #earthquake of 7.3 leaving 436 dead #Iran https://t.co/4ulKhwpPEH,hurricane_harvey,iraq_iran_earthquake,infrastructure_and_utility_damage,infrastructure_and_utility_damage,severe_terms=dead;population=0
