pair_id,tweet_text,image_severity_signal,text_severity_signal,rubric_reason,conflict_type
real:901671631549906946_0,Texas Faces Floods After Hurricane Harvey Wreaks Havoc https://t.co/5R2P7JCYrV,severe,none,no_damage_or_affected_population_signal,severity_mismatch
real:901655097293377536_2,"RT @JMilesKHOU: Rockport, TX damage via @StormVisuals. Feeling for those folks #HurricaneHarvey #khou11 https://t.co/uoOuBEzPl0",mild,moderate,moderate_terms=damage;population=0,severity_mismatch
real:905883574653652993_0,"Flood Subsidies Made Damage Done by Hurricane Harvey Much Worse, Not Better https://t.co/BtHEyvHO8l By James Bovard https://t.co/CfO9bcjJBZ",severe,moderate,moderate_terms=damage;population=0,severity_mismatch
real:906927969171656705_0,#Irma causing street flooding near intracoastal in #westpalmbeach @WPBF25News https://t.co/oOLysSa6Nj,mild,moderate,moderate_terms=flooding;population=0,severity_mismatch
real:906980168463462400_0,#Strong winds cause damage in Winter Springs neighborhood. Residents believe it was a tornado.#WFTV https://t.co/C4xMRK5JoA,mild,moderate,moderate_terms=damage;population=0,severity_mismatch
real:909879689610743810_0,.@CityofVeniceFL fishing pier closed pending Irma damage inspection https://t.co/R8jF1GzZnM @HeraldTribune https://t.co/pXumzN8Pub,none,moderate,moderate_terms=damage;population=0,severity_mismatch
real:905830340975058944_0,Piles of debris and damaged furniture line a road in Groves as residents begin to clean up from Harvey #setxnews https://t.co/81A1G9Hub0,mild,moderate,"moderate_terms=damaged,damage;population=0",severity_mismatch
real:910222023263084544_0,#Chive Couple films Hurricane Irma’s destruction in Saint Martin (Video) https://t.co/5PVSZ2nV3t #DerangedRadio https://t.co/XbGpidgsH7,severe,none,no_damage_or_affected_population_signal,severity_mismatch
real:908566528898895872_0,Finally finished with walls! Now on to sorting losses #Harvey #HoustonStrong #NewSeason https://t.co/Sscz9aDQLl,mild,none,no_damage_or_affected_population_signal,severity_mismatch
real:910147498873950208_0,Tree fell from #hurricane #Irma. #OddlySatisfying #PicsBae via https://t.co/NOhfVtYh3H https://t.co/W82IzllJnD,mild,none,no_damage_or_affected_population_signal,severity_mismatch
real:909434397077753861_0,RT @ThomasWenski: St Peter the Fisherman in Big Pine Key suffered major damage from Irma. We will rebuild!!! https://t.co/sWFb4XVx2W,mild,moderate,moderate_terms=damage;population=0,severity_mismatch
real:909441515839266816_1,RT @4cast4you: before/after #Irma near St. Maarten airport. Complete devastation.(Slightly diff angle) https://t.co/IdQwaaABrW,severe,none,no_damage_or_affected_population_signal,severity_mismatch
real:929999388713332737_0,RT @RudawEnglish: Material damages captured by Rudaw English's managing editor @OsamaGolpy in #Halabja #earthquake https://t.co/6MaFWai7Vb,mild,moderate,moderate_terms=damage;population=0,severity_mismatch
real:910523398253461504_1,"RT @CNN: Hurricane Maria ripped the roofs off these homes in San Juan, Puerto Rico https://t.co/VGpWK7tl7e https://t.co/jnt6nRhRXR",mild,none,no_damage_or_affected_population_signal,severity_mismatch
real:910033969315446784_0,Just got power back from #Irma after 5 days. Hopefully #Maria leaves the southeast alone... Hopefully she just goes… https://t.co/0jyUZHXk9H,mild,none,no_damage_or_affected_population_signal,severity_mismatch
